,,"Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)"
"New Zealand","1997","6.7"
"New Zealand","1996","6.9"
"New Zealand","1995","7.1"
"New Zealand","1994","7.5"
"New Zealand","1993","7.8"
"New Zealand","1992","8.2"
"New Zealand","1991","8.7"
"New Zealand","1990","9.2"
"Norway","2017","2.1"
"Norway","2016","2.1"
"Norway","2015","2.2"
"Norway","2014","2.3"
"Norway","2013","2.3"
"Norway","2012","2.4"
"Norway","2011","2.5"
"Norway","2010","2.6"
"Norway","2009","2.7"
"Norway","2008","2.8"
"Norway","2007","3.0"
"Norway","2006","3.2"
"Norway","2005","3.2"
"Norway","2004","3.4"
"Norway","2003","3.6"
"Norway","2002","3.6"
"Norway","2001","3.8"
"Norway","2000","4.0"
"Norway","1999","4.0"
"Norway","1998","4.1"
"Norway","1997","4.2"
"Norway","1996","4.4"
"Norway","1995","4.6"
"Norway","1994","4.9"
"Norway","1993","5.3"
"Norway","1992","5.8"
"Norway","1991","6.4"
"Norway","1990","7.0"
"Sweden","2017","2.3"
"Sweden","2016","2.4"
"Sweden","2015","2.4"
"Sweden","2014","2.4"
"Sweden","2013","2.4"
"Sweden","2012","2.5"
"Sweden","2011","2.5"
"Sweden","2010","2.5"
"Sweden","2009","2.6"
"Sweden","2008","2.6"
"Sweden","2007","2.7"
"Sweden","2006","2.8"
"Sweden","2005","3.0"
"Sweden","2004","3.1"
"Sweden","2003","3.2"
"Sweden","2002","3.3"
"Sweden","2001","3.4"
"Sweden","2000","3.4"
"Sweden","1999","3.4"
"Sweden","1998","3.5"
"Sweden","1997","3.6"
"Sweden","1996","3.8"
"Sweden","1995","4.0"
"Sweden","1994","4.4"
"Sweden","1993","4.8"
"Sweden","1992","5.2"
"Sweden","1991","5.5"
"Sweden","1990","5.9"
"Switzerland","2017","3.7"
"Switzerland","2016","3.8"
"Switzerland","2015","3.8"
"Switzerland","2014","3.8"
"Switzerland","2013","3.8"
"Switzerland","2012","3.9"
"Switzerland","2011","3.9"
"Switzerland","2010","3.9"
"Switzerland","2009","4.0"
"Switzerland","2008","4.0"
"Switzerland","2007","4.1"
"Switzerland","2006","4.2"
"Switzerland","2005","4.3"
"Switzerland","2004","4.4"
"Switzerland","2003","4.5"
"Switzerland","2002","4.6"
"Switzerland","2001","4.6"
"Switzerland","2000","4.7"
"Switzerland","1999","4.7"
"Switzerland","1998","4.8"
"Switzerland","1997","4.9"
"Switzerland","1996","5.0"
"Switzerland","1995","5.2"
"Switzerland","1994","5.5"
"Switzerland","1993","5.8"
"Switzerland","1992","6.1"
"Switzerland","1991","6.4"
"Switzerland","1990","6.6"
"United Kingdom of Great Britain and Northern Ireland","2017","3.7"
"United Kingdom of Great Britain and Northern Ireland","2016","3.7"
"United Kingdom of Great Britain and Northern Ireland","2015","3.8"
"United Kingdom of Great Britain and Northern Ireland","2014","3.8"
"United Kingdom of Great Britain and Northern Ireland","2013","3.9"
"United Kingdom of Great Britain and Northern Ireland","2012","4.1"
"United Kingdom of Great Britain and Northern Ireland","2011","4.2"
"United Kingdom of Great Britain and Northern Ireland","2010","4.4"
"United Kingdom of Great Britain and Northern Ireland","2009","4.6"
"United Kingdom of Great Britain and Northern Ireland","2008","4.8"
"United Kingdom of Great Britain and Northern Ireland","2007","4.9"
"United Kingdom of Great Britain and Northern Ireland","2006","5.0"
"United Kingdom of Great Britain and Northern Ireland","2005","5.1"
"United Kingdom of Great Britain and Northern Ireland","2004","5.3"
"United Kingdom of Great Britain and Northern Ireland","2003","5.3"
"United Kingdom of Great Britain and Northern Ireland","2002","5.3"
"United Kingdom of Great Britain and Northern Ireland","2001","5.4"
"United Kingdom of Great Britain and Northern Ireland","2000","5.5"
"United Kingdom of Great Britain and Northern Ireland","1999","5.7"
"United Kingdom of Great Britain and Northern Ireland","1998","5.8"
"United Kingdom of Great Britain and Northern Ireland","1997","5.9"
"United Kingdom of Great Britain and Northern Ireland","1996","5.9"
"United Kingdom of Great Britain and Northern Ireland","1995","6.1"
"United Kingdom of Great Britain and Northern Ireland","1994","6.3"
"United Kingdom of Great Britain and Northern Ireland","1993","6.5"
"United Kingdom of Great Britain and Northern Ireland","1992","7.0"
"United Kingdom of Great Britain and Northern Ireland","1991","7.4"
"United Kingdom of Great Britain and Northern Ireland","1990","7.9"
"United States of America","2017","5.7"
"United States of America","2016","5.7"
"United States of America","2015","5.8"
"United States of America","2014","5.9"
"United States of America","2013","6.0"
"United States of America","2012","6.1"
"United States of America","2011","6.1"
"United States of America","2010","6.2"
"United States of America","2009","6.4"
"United States of America","2008","6.5"
"United States of America","2007","6.5"
"United States of America","2006","6.7"
"United States of America","2005","6.8"
"United States of America","2004","6.9"
"United States of America","2003","6.8"
"United States of America","2002","6.9"
"United States of America","2001","7.0"
"United States of America","2000","7.1"
"United States of America","1999","7.2"
"United States of America","1998","7.3"
"United States of America","1997","7.5"
"United States of America","1996","7.7"
"United States of America","1995","8.0"
"United States of America","1994","8.2"
"United States of America","1993","8.5"
"United States of America","1992","8.8"
"United States of America","1991","9.1"
"United States of America","1990","9.4"
